School Year,Major Program Name,
2012-2013,Chemical Engineering,94
2012-2013,Civil Engineering,15
2012-2013,Computational Biology,14
2012-2013,Computer Engineering,343
2012-2013,Computer Information Systems,44
2012-2013,Computer Science,1904
2012-2013,Computer Science (BA),53
2012-2013,Computer Science (BS),152
2012-2013,Computer Science + X,179
2012-2013,Computer Software and Media Applications,72
2012-2013,Computer Systems Engineering,30
2012-2013,Electrical Engineering,414
2012-2013,Electrical and Computer Engineering,190
2012-2013,"Electrical, Electronics and Communications Engineering",12
2012-2013,Engineering Technology,166
2012-2013,General Engineering,9
2012-2013,Industrial Distribution,90
2012-2013,Informatics,115
2012-2013,Information Science,65
2012-2013,Information Technology,131
2012-2013,Management Information Systems,149
2012-2013,Mechanical Engineering,808
2012-2013,Software Engineering,30
2012-2013,Systems Engineering,18
2012-2013,Web Design ,14
2013-2014,Aerospace Engineering,159
2013-2014,Applied Information Technology,173
2013-2014,CS and/or Eng Multiple Majors (data submitted in aggregation),1001
2013-2014,Chemical Engineering,116
2013-2014,Civil Engineering,73
2013-2014,Computational Biology,16
2013-2014,Computer Engineering,418
2013-2014,Computer Science,2495
2013-2014,Computer Science (BA),83
2013-2014,Computer Science (BS),190
2013-2014,Computer Science + X,275
2013-2014,Computer Software and Media Applications,83
2013-2014,Computer Systems Engineering,34
2013-2014,Electrical & Computer Engineering,30
2013-2014,Electrical Engineering,473
2013-2014,Electrical and Computer Engineering,183
2013-2014,"Electrical, Electronics and Communications Engineering",11
2013-2014,Engineering Technology,194
2013-2014,General Engineering,20
2013-2014,Industrial Distribution,90
2013-2014,Informatics,168
2013-2014,Information Science,105
2013-2014,Information Technology,176
2013-2014,Management Information Systems,132
2013-2014,Mechanical Engineering,819
2013-2014,Software Engineering,52
2013-2014,Web Design ,14
2014-2015,Aerospace Engineering,142
2014-2015,CS and/or Eng Multiple Majors (data submitted in aggregation),1077
2014-2015,Chemical Engineering,123
2014-2015,Civil Engineering,59
2014-2015,Computational Biology,9
2014-2015,Computer Engineering,269
2014-2015,Computer Information Systems,18
2014-2015,Computer Science,3540
2014-2015,Computer Science (BA),155
2014-2015,Computer Science (BS),243
2014-2015,Computer Science + X,314
2014-2015,Computer Software and Media Applications,94
2014-2015,Computer Systems Engineering,42
2014-2015,Computer and Information Sciences,33
2014-2015,Data Science,5
2014-2015,Electrical & Computer Engineering,35
2014-2015,Electrical Engineering,398
2014-2015,Electrical and Computer Engineering,149
2014-2015,"Electrical, Electronics and Communications Engineering",14
2014-2015,Engineering Technology,197
2014-2015,General Engineering,24
2014-2015,Industrial Distribution,100
2014-2015,Informatics,250
2014-2015,Information Assurance/Cybersecurity,27
2014-2015,Information Science,114
2014-2015,Information Science ,17
2014-2015,Information Sciences,4
2014-2015,Information Technology,275
2014-2015,Management Information Systems,157
2014-2015,Mechanical Engineering,793
2014-2015,Software Engineering,167
2014-2015,Web Design ,17
2015-2016,Aerospace Engineering,101
2015-2016,Applied Computer Science,1
2015-2016,CS and/or Eng Multiple Majors (data submitted in aggregation),817
2015-2016,Civil Engineering,58
2015-2016,Computational Biology,10
2015-2016,Computer Engineering,192
2015-2016,Computer Information Systems,47
2015-2016,Computer Science,3230
2015-2016,Computer Science ,4
2015-2016,Computer Science (BA),181
2015-2016,Computer Science (BS),321
2015-2016,Computer Science + X,250
2015-2016,Computer Science / Engineering,69
2015-2016,Computer Software and Media Applications,105
2015-2016,Computer Technology,37
2015-2016,Computer and Information Systems,0
2015-2016,Data Science,27
2015-2016,Electrical & Computer Engineering,41
2015-2016,Electrical Engineering,400
2015-2016,Electrical and Computer Engineering,144
2015-2016,"Electrical, Electronics and Communications Engineering",24
2015-2016,Engineering Technology,258
2015-2016,Game Design,16
2015-2016,General Engineering ,19
2015-2016,Industrial Distribution,164
2015-2016,Informatics,38
2015-2016,Information Assurance/Cybersecurity,39
2015-2016,Information Science,52
2015-2016,Information Sciences,1
2015-2016,Information Technology,309
2015-2016,Information Technology ,154
2015-2016,Management Information Systems,224
2015-2016,Manufacturing Engineering ,5
2015-2016,Mechanical Engineering,679
2015-2016,Software Engineering,52
2015-2016,Web Design ,14
2016-2017,CS and/or Eng Multiple Majors (data submitted in aggregation),255
2016-2017,Civil Engineering,80
2016-2017,Computer Engineering,144
2016-2017,Computer Science,1050
2016-2017,Computer Science + X,92
2016-2017,Computer Software and Media Applications,141
2016-2017,Electrical & Computer Engineering,54
2016-2017,Electrical Engineering,114
2016-2017,Electrical and Computer Engineering,32
2016-2017,General Engineering ,18
2016-2017,Information Science,48
2016-2017,Information Technology,79
2016-2017,Management Information Systems,32
2016-2017,Mechanical Engineering,250
2016-2017,Software Engineering,56
2016-2017,Web Design ,11
