School Year,Major Program Name,Total
2012-2013,CS and/or Eng Multiple Majors (data submitted in aggregation),4405
2012-2013,Chemical Engineering,306
2012-2013,Civil Engineering,42
2012-2013,Computational Biology,5
2012-2013,Computer Engineering,3198
2012-2013,Computer Information Systems,197
2012-2013,Computer Science,12855
2012-2013,Computer Science (BA),293
2012-2013,Computer Science (BS),1145
2012-2013,Computer Science + X,558
2012-2013,Computer Software and Media Applications,256
2012-2013,Computer Systems Engineering,286
2012-2013,Electrical Engineering,3229
2012-2013,Electrical and Computer Engineering,1155
2012-2013,"Electrical, Electronics and Communications Engineering",80
2012-2013,Engineering Technology,1327
2012-2013,General Engineering,81
2012-2013,Industrial Distribution,464
2012-2013,Informatics,546
2012-2013,Information Science,195
2012-2013,Information Technology,979
2012-2013,Management Information Systems,421
2012-2013,Mechanical Engineering,5642
2012-2013,Software Engineering,349
2012-2013,Systems Engineering,43
2012-2013,Web Design ,15
2013-2014,Aerospace Engineering,875
2013-2014,Applied Information Technology,746
2013-2014,CS and/or Eng Multiple Majors (data submitted in aggregation),5135
2013-2014,Chemical Engineering,356
2013-2014,Civil Engineering,152
2013-2014,Computational Biology,7
2013-2014,Computer Engineering,3941
2013-2014,Computer Science,16165
2013-2014,Computer Science (BA),514
2013-2014,Computer Science (BS),1343
2013-2014,Computer Science + X,799
2013-2014,Computer Software and Media Applications,233
2013-2014,Computer Systems Engineering,307
2013-2014,Electrical & Computer Engineering,201
2013-2014,Electrical Engineering,3624
2013-2014,Electrical and Computer Engineering,1167
2013-2014,"Electrical, Electronics and Communications Engineering",78
2013-2014,Engineering Technology,1453
2013-2014,General Engineering,98
2013-2014,Industrial Distribution,472
2013-2014,Informatics,657
2013-2014,Information Science,471
2013-2014,Information Technology,1151
2013-2014,Management Information Systems,556
2013-2014,Mechanical Engineering,5470
2013-2014,Software Engineering,566
2013-2014,Web Design ,11
2014-2015,Aerospace Engineering,894
2014-2015,CS and/or Eng Multiple Majors (data submitted in aggregation),5217
2014-2015,Chemical Engineering,387
2014-2015,Civil Engineering,158
2014-2015,Computational Biology,3
2014-2015,Computer Engineering,2608
2014-2015,Computer Information Systems,151
2014-2015,Computer Science,19438
2014-2015,Computer Science (BA),841
